DATE,SMU37167400500000003SA
2007-01-01,21.990794222919803
2007-02-01,22.131066889517196
2007-03-01,22.1176472778854
2007-04-01,22.2282757761586
2007-05-01,21.6887690002155
2007-06-01,21.814457031386105
2007-07-01,21.893469962056
2007-08-01,21.026241561145998
2007-09-01,22.7336101376144
2007-10-01,22.1023064561115
2007-11-01,21.9926071622313
2007-12-01,22.258366203031997
2008-01-01,22.052154619084398
2008-02-01,21.4304594405798
2008-03-01,22.1516057085115
2008-04-01,22.4750463299637
2008-05-01,22.8617659526847
2008-06-01,23.736812804755804
2008-07-01,23.1358772860506
2008-08-01,23.1682120609788
2008-09-01,22.9086426532408
2008-10-01,23.1570723349966
2008-11-01,23.5854449042343
2008-12-01,23.5827980058678
2009-01-01,23.4735806264076
2009-02-01,23.2981981058368
2009-03-01,23.510233851398397
2009-04-01,22.7175367001393
2009-05-01,23.264351026066798
2009-06-01,23.492674543873896
2009-07-01,23.284163003309196
2009-08-01,23.651452141453298
2009-09-01,23.634211491415602
2009-10-01,23.6477235860515
2009-11-01,23.679981163600804
2009-12-01,23.381923825064202
2010-01-01,23.4865891963473
2010-02-01,23.5111659980469
2010-03-01,23.1549363162899
2010-04-01,23.231898059975702
2010-05-01,23.3297604322738
2010-06-01,23.1795694380267
2010-07-01,23.306624378549298
2010-08-01,23.166927959633004
2010-09-01,22.956223091369
2010-10-01,23.0636879245032
2010-11-01,22.760796288046397
2010-12-01,23.1700739892623
2011-01-01,24.4330301823628
2011-02-01,23.916600472646103
2011-03-01,24.2141952365961
2011-04-01,24.1694565895885
2011-05-01,24.3355406021568
2011-06-01,23.9665424297715
2011-07-01,24.081020849627105
2011-08-01,24.155469983717104
2011-09-01,24.5990088005427
2011-10-01,25.080284559843896
2011-11-01,24.520314951919698
2011-12-01,24.716682039892103
2012-01-01,24.972975938671198
2012-02-01,24.631439183632803
2012-03-01,24.5528035247157
2012-04-01,24.9850811054677
2012-05-01,24.7940697935997
2012-06-01,24.908588318263302
2012-07-01,25.037302162684302
2012-08-01,24.892040801646104
2012-09-01,25.312119952049304
2012-10-01,25.0219549873666
2012-11-01,24.7586868084969
2012-12-01,24.8502554998103
2013-01-01,24.3219345734299
2013-02-01,24.137946693415103
2013-03-01,24.340257487927698
2013-04-01,23.958373615341397
2013-05-01,23.818641677750897
2013-06-01,24.2251810496708
2013-07-01,24.1184152088355
2013-08-01,24.0108183337004
2013-09-01,24.009872363325897
2013-10-01,24.0519307635467
2013-11-01,24.0178179758747
2013-12-01,24.156375796371798
2014-01-01,24.183448442789697
2014-02-01,24.722792245907502
2014-03-01,24.5440382580802
2014-04-01,24.460725787968197
2014-05-01,24.4751800503085
2014-06-01,24.9266098409064
2014-07-01,24.392761791254202
2014-08-01,24.347378791587
2014-09-01,24.331176319846
2014-10-01,24.3527452607194
2014-11-01,25.158186207944603
2014-12-01,24.7835401205578
2015-01-01,24.923840098579003
2015-02-01,25.0831537747123
2015-03-01,24.9737749344632
2015-04-01,25.2046095477466
2015-05-01,25.349797064703
2015-06-01,25.4245228047532
2015-07-01,25.489832760110897
2015-08-01,25.72048288252
2015-09-01,25.364345819186397
2015-10-01,25.4510771184875
2015-11-01,25.812333573606402
2015-12-01,25.8713046241966
2016-01-01,26.6927222186639
2016-02-01,26.377165967547302
2016-03-01,26.3445978508637
2016-04-01,26.216840103702804
2016-05-01,26.7369025622678
2016-06-01,26.7158463383989
2016-07-01,26.608709881645304
2016-08-01,26.8729287908532
2016-09-01,27.2928865397871
2016-10-01,27.5923297440983
2016-11-01,27.784560959509502
2016-12-01,27.2859159749389
2017-01-01,27.710097294788397
2017-02-01,27.6479133264145
2017-03-01,28.1605485949017
2017-04-01,28.1390244059792
2017-05-01,28.0770254356676
2017-06-01,27.813204153909503
2017-07-01,28.1288701738843
2017-08-01,28.1275209003432
2017-09-01,27.913691535889
2017-10-01,28.228280943193102
2017-11-01,27.6109044679697
2017-12-01,27.8612618158328
2018-01-01,28.1507021522144
2018-02-01,28.3136423102617
2018-03-01,28.2816041059925
2018-04-01,28.3601351227543
2018-05-01,28.396806965968103
2018-06-01,28.285746648249802
2018-07-01,28.620071868312397
2018-08-01,28.402590160086497
2018-09-01,29.0588316579977
2018-10-01,28.8488171189125
2018-11-01,28.585422064395104
2018-12-01,29.2610736469767
2019-01-01,28.8776568039353
2019-02-01,28.728001406633503
2019-03-01,28.8082740428889
2019-04-01,29.0724669170577
2019-05-01,29.151982281277
2019-06-01,29.8053269562688
2019-07-01,29.7533429452039
2019-08-01,30.166800517362198
2019-09-01,30.0697769769986
2019-10-01,29.876725708663802
2019-11-01,30.5501085810064
2019-12-01,30.534041950857898
2020-01-01,30.4253713192393
2020-02-01,30.385471172674603
2020-03-01,30.5630144279802
2020-04-01,31.261260193863002
2020-05-01,31.092365745271696
2020-06-01,30.960043833745303
2020-07-01,31.2537161707727
2020-08-01,31.6373463688417
2020-09-01,31.6108936992388
2020-10-01,31.7040809134977
2020-11-01,32.0062267126649
2020-12-01,32.214712183852
2021-01-01,32.1043595634879
2021-02-01,33.107832125735605
2021-03-01,32.8582172361602
