DATE,SMU47349800500000003SA
2007-01-01,19.496528526992304
2007-02-01,19.750041705515198
2007-03-01,19.3720213664516
2007-04-01,19.754380288615
2007-05-01,19.4391474155487
2007-06-01,19.5225430377624
2007-07-01,19.775423830115
2007-08-01,19.8381384345754
2007-09-01,19.9800739695415
2007-10-01,19.908304791067
2007-11-01,19.985729819177898
2007-12-01,20.4191856103137
2008-01-01,20.7278416231633
2008-02-01,21.210512826850103
2008-03-01,21.1645449760527
2008-04-01,20.7469279741561
2008-05-01,21.4416276146004
2008-06-01,21.842310721995002
2008-07-01,21.6483672257707
2008-08-01,21.4878686188025
2008-09-01,21.231412027987602
2008-10-01,21.6536124084407
2008-11-01,21.931062075721602
2008-12-01,22.182524731364698
2009-01-01,21.572691006154198
2009-02-01,21.7709883277981
2009-03-01,21.9598440723722
2009-04-01,21.7970558829099
2009-05-01,21.975673220767302
2009-06-01,21.840104843132
2009-07-01,21.730304838211698
2009-08-01,21.872658570764603
2009-09-01,21.771864769601997
2009-10-01,21.813816677444603
2009-11-01,21.6560878215495
2009-12-01,21.6636288892483
2010-01-01,21.758226635691
2010-02-01,21.6235957997856
2010-03-01,21.569269483625604
2010-04-01,21.822695522512397
2010-05-01,21.770178326567102
2010-06-01,22.034570756121003
2010-07-01,21.820210858773198
2010-08-01,21.970781242835102
2010-09-01,21.9704268531848
2010-10-01,22.199268637801104
2010-11-01,22.145508153845
2010-12-01,22.097073692058803
2011-01-01,22.1948561591214
2011-02-01,22.138202319295697
2011-03-01,22.1079064292067
2011-04-01,21.9897216682593
2011-05-01,22.1154788857886
2011-06-01,21.932890848406302
2011-07-01,22.1776333774581
2011-08-01,22.185395530191396
2011-09-01,22.0390235816198
2011-10-01,22.262604619464103
2011-11-01,21.9268596394772
2011-12-01,21.7696101493366
2012-01-01,22.3673021718826
2012-02-01,21.7288959807126
2012-03-01,21.1768372110249
2012-04-01,21.769340709861602
2012-05-01,21.5026671705016
2012-06-01,21.5060877152845
2012-07-01,21.5828063531173
2012-08-01,21.6827044590225
2012-09-01,21.8798275179365
2012-10-01,21.4302116502695
2012-11-01,21.485163957210304
2012-12-01,21.7530802476066
2013-01-01,21.597444387649197
2013-02-01,21.6161633132204
2013-03-01,21.8503927339965
2013-04-01,21.5169532509683
2013-05-01,21.7116722382438
2013-06-01,21.843325620440897
2013-07-01,21.982140776220604
2013-08-01,21.4501235630868
2013-09-01,21.935025436381302
2013-10-01,21.8335916522439
2013-11-01,22.2171711488543
2013-12-01,22.5084532702876
2014-01-01,22.521146135298398
2014-02-01,22.781714052945198
2014-03-01,22.934241132801
2014-04-01,23.1942744361093
2014-05-01,23.776106401838003
2014-06-01,23.464470847196804
2014-07-01,23.162747358713002
2014-08-01,23.1578742204108
2014-09-01,23.0785483348176
2014-10-01,23.1115866163946
2014-11-01,23.326018228333
2014-12-01,22.0901288953761
2015-01-01,22.613707983470203
2015-02-01,22.9751467967772
2015-03-01,22.941648784663
2015-04-01,22.677385870577
2015-05-01,22.6992883118234
2015-06-01,22.726080888104896
2015-07-01,22.7196344375468
2015-08-01,23.117561155502703
2015-09-01,22.846959143600696
2015-10-01,23.080010952672502
2015-11-01,23.1119877178835
2015-12-01,23.0839756182605
2016-01-01,23.3898144063829
2016-02-01,23.1125453699567
2016-03-01,23.202234983356103
2016-04-01,23.472510042309104
2016-05-01,24.2147872971705
2016-06-01,23.9776640043695
2016-07-01,24.2088705187218
2016-08-01,24.244718555622896
2016-09-01,24.334193587938
2016-10-01,24.8100465429458
2016-11-01,24.983900028315897
2016-12-01,25.042495178617802
2017-01-01,25.166556909153105
2017-02-01,25.1479732202317
2017-03-01,25.043807823009402
2017-04-01,25.3883726333024
2017-05-01,25.1313906439174
2017-06-01,24.973137900477198
2017-07-01,25.398592659462
2017-08-01,25.2111157197054
2017-09-01,25.3868132406858
2017-10-01,25.3775348651092
2017-11-01,25.2894671374088
2017-12-01,25.3452327637878
2018-01-01,25.5000345731648
2018-02-01,25.3686458055039
2018-03-01,25.869636310337
2018-04-01,25.894748287258302
2018-05-01,25.991183138311502
2018-06-01,26.1866240950702
2018-07-01,26.345312552283602
2018-08-01,26.523591718295002
2018-09-01,26.941593718604604
2018-10-01,26.9474956407603
2018-11-01,27.0514191658697
2018-12-01,27.6118648514472
2019-01-01,27.0675414497577
2019-02-01,27.572412380555395
2019-03-01,27.517652230769897
2019-04-01,27.059918856479502
2019-05-01,27.5092315134062
2019-06-01,27.9007976686825
2019-07-01,27.439467140391102
2019-08-01,27.6708062839956
2019-09-01,27.674894759354
2019-10-01,27.6709393347964
2019-11-01,27.6209884877831
2019-12-01,27.680729307095397
2020-01-01,27.7653182788663
2020-02-01,27.7383637888591
2020-03-01,27.5678207181925
2020-04-01,28.3046589155479
2020-05-01,27.7982505412145
2020-06-01,27.512436625424105
2020-07-01,27.7717796971907
2020-08-01,28.153755084649
2020-09-01,28.0127186607832
2020-10-01,27.940167204492898
2020-11-01,28.355822364353102
2020-12-01,28.3549702505917
2021-01-01,28.4514449119404
2021-02-01,28.888411870001
2021-03-01,28.6697712465724
