DATE,SMU13120600500000003SA
2007-01-01,23.5920473154454
2007-02-01,23.751231824803902
2007-03-01,25.0204880756882
2007-04-01,23.898837811562
2007-05-01,23.8238641157697
2007-06-01,24.3734333638132
2007-07-01,23.0228355161364
2007-08-01,22.2924573217024
2007-09-01,23.6586280153976
2007-10-01,23.7085769583103
2007-11-01,22.5470444879034
2007-12-01,23.144345247558302
2008-01-01,24.7227299198153
2008-02-01,24.726781975437103
2008-03-01,24.603702768298398
2008-04-01,24.425627299613105
2008-05-01,24.502971840946103
2008-06-01,24.7850136990518
2008-07-01,24.9913849984413
2008-08-01,24.579561951616803
2008-09-01,24.7193402300559
2008-10-01,24.6787307664394
2008-11-01,24.958788125616998
2008-12-01,24.599466687248203
2009-01-01,24.6524363620123
2009-02-01,24.6668929751091
2009-03-01,24.6150720805658
2009-04-01,24.412283820152396
2009-05-01,24.1690806851268
2009-06-01,24.198703815813303
2009-07-01,24.0218277941586
2009-08-01,24.2360496317018
2009-09-01,23.7513839416018
2009-10-01,23.752631854679
2009-11-01,23.927366929084897
2009-12-01,23.9060618147518
2010-01-01,23.814265338158197
2010-02-01,23.944935833274197
2010-03-01,23.9471519440247
2010-04-01,24.0628065877077
2010-05-01,24.2209352544933
2010-06-01,23.900132215796
2010-07-01,23.926217688023
2010-08-01,24.1260620845332
2010-09-01,24.0503135226685
2010-10-01,24.194726697610303
2010-11-01,23.893585700680298
2010-12-01,23.7674835949976
2011-01-01,24.8309552550501
2011-02-01,24.024516924665605
2011-03-01,24.0353317178304
2011-04-01,24.300302661726104
2011-05-01,24.3762652217874
2011-06-01,24.3150333127863
2011-07-01,24.3524097328428
2011-08-01,24.2214745052494
2011-09-01,24.220643566944197
2011-10-01,24.5221709390732
2011-11-01,24.085471886564804
2011-12-01,23.9132103725544
2012-01-01,24.0544288399863
2012-02-01,23.717301525369603
2012-03-01,23.841936778732098
2012-04-01,24.277068944352397
2012-05-01,23.845049433746702
2012-06-01,23.845600775246897
2012-07-01,24.2459251651822
2012-08-01,23.9549383533496
2012-09-01,24.2872207552756
2012-10-01,24.1627984487375
2012-11-01,24.3100881088105
2012-12-01,24.557882112486602
2013-01-01,24.483726843375003
2013-02-01,24.614411358934102
2013-03-01,24.580596020331303
2013-04-01,24.7135334363911
2013-05-01,24.7843695550285
2013-06-01,24.9765873521412
2013-07-01,24.6523472859059
2013-08-01,24.795692796199898
2013-09-01,25.157961179702898
2013-10-01,25.0001404717782
2013-11-01,25.0305930486136
2013-12-01,25.3088792003133
2014-01-01,25.1481728782585
2014-02-01,25.904721470626
2014-03-01,25.2953991713218
2014-04-01,25.259990048860196
2014-05-01,25.349502500766896
2014-06-01,25.722747262625
2014-07-01,25.6792008007262
2014-08-01,25.823772818124198
2014-09-01,25.7116692911662
2014-10-01,25.755428826563
2014-11-01,26.139208148633102
2014-12-01,25.7908700117859
2015-01-01,25.9800375526722
2015-02-01,26.2744877780789
2015-03-01,26.2804129585393
2015-04-01,26.0967863984517
2015-05-01,26.135146376764602
2015-06-01,25.9820219610996
2015-07-01,26.0743752357867
2015-08-01,26.3860472817098
2015-09-01,26.181448251869
2015-10-01,26.2551345230819
2015-11-01,26.614994852017198
2015-12-01,26.5298812156839
2016-01-01,26.649654043585
2016-02-01,26.597780296029395
2016-03-01,26.8054125975497
2016-04-01,26.8840353140019
2016-05-01,27.5105514995877
2016-06-01,27.0991781590835
2016-07-01,27.204738713155898
2016-08-01,27.257942272059303
2016-09-01,27.169217977750602
2016-10-01,27.5729812203432
2016-11-01,27.454349087374702
2016-12-01,27.428974781802303
2017-01-01,27.9565639838936
2017-02-01,27.572135999562303
2017-03-01,27.6294874628815
2017-04-01,28.0769618230222
2017-05-01,27.758161262311695
2017-06-01,27.7868648154452
2017-07-01,28.0456325209381
2017-08-01,27.955727771975397
2017-09-01,28.316944131399197
2017-10-01,28.401038111385198
2017-11-01,28.140426493168203
2017-12-01,28.4262855871667
2018-01-01,28.541561518836698
2018-02-01,28.8135595196669
2018-03-01,28.77598602593
2018-04-01,29.2806408978691
2018-05-01,28.9294297156185
2018-06-01,29.0581804974235
2018-07-01,29.1983257735273
2018-08-01,28.993400648643604
2018-09-01,29.701167842091103
2018-10-01,29.1347378068066
2018-11-01,28.8994063796859
2018-12-01,29.0564853379522
2019-01-01,29.1538597286659
2019-02-01,29.0526000224587
2019-03-01,29.1993769807305
2019-04-01,29.0385253964779
2019-05-01,28.996316371688103
2019-06-01,29.4659442813562
2019-07-01,28.879860282432297
2019-08-01,29.012630732062103
2019-09-01,29.1604190621944
2019-10-01,29.091760371275
2019-11-01,29.158946925794897
2019-12-01,29.3550889570512
2020-01-01,29.216386342884604
2020-02-01,29.516606980111103
2020-03-01,29.483122289544397
2020-04-01,30.987987203677697
2020-05-01,30.218265062977
2020-06-01,30.1419236177422
2020-07-01,30.1526646409897
2020-08-01,30.674299286159897
2020-09-01,30.2683248966826
2020-10-01,30.346504871382
2020-11-01,30.943092233435998
2020-12-01,30.527735153270697
2021-01-01,30.5340231501833
2021-02-01,30.25885925169
2021-03-01,29.7594135387534
